,name,price,image
29,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 128GB ROM 50 Mpx - Black","2,018.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/171705/1.jpg?3374
30,Logicom Téléphone Sans fil numérique de maison  150,229.50 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/454884/1.jpg?3359
31,"XIAOMI Redmi Note 11 Pro - FHD+ de 6,67’’(6Go, 128Go) - 108MP- Gris - Band + Écouteur","3,099.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/186585/1.jpg?7185
32,"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Copper","1,429.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/485685/1.jpg?4864
33,"Itel BRAND MOBILE PHONE P38 - 6.6"" - 32GB ROM - 2GB RAM - Nebula Black",880.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/289075/1.jpg?9466
34,XIAOMI Redmi 10C (4GB -64GB) Snapdragon 680 -5000 mAh-50 MP- NFC-Gray,"1,630.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/472585/1.jpg?8006
35,"XIAOMI Redmi 9C 6.53"" (4Go, 128 Go) Android 13MP+2MP+2MP/5MP - Violet","1,599.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/398184/1.jpg?4545
36,"Infinix Note 12 - 6.7"" - (8 Go-256 Go) AMOLED -Helio G 96 - 50 MP - Noir","2,690.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/116155/1.jpg?8867
37,"Samsung GALAXY A03 Core - 6.5"" - 2GB RAM + 32GB ROM - 48 Mpx - pink","1,149.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/140845/1.jpg?2364
38,Samsung Galaxy A03 Core Noir 2G Ram 32G Storage,"1,099.90 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/404165/1.jpg?4517
39,"Samsung Galaxy A32 ( 6 GB + 128 GB ) - 64 MP - 6.4""- 5,000mAh - Noir + Kit + Montre","2,870.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/930604/1.jpg?1382
40,Samsung Galaxy A03 (4Go Ram - 64Go ROM) - Noir,"1,349.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/106305/1.jpg?9411
41,Samsung Galaxy A03 (4Go Ram - 64Go ROM) - Bleu,"1,349.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/795305/1.jpg?9361
42,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx - Blue","1,772.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/171705/1.jpg?3372
43,"Samsung Galaxy A23 6.6"" LTE 4GB RAM + 128GB ROM - 50 Mpx - Blue","2,166.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/171705/1.jpg?3371
44,"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Black","1,429.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/485685/1.jpg?4863
45,"Samsung Galaxy A23 6.6"" LTE 4GB RAM + 128GB ROM - 50 Mpx - Black","2,166.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/171705/1.jpg?3371
46,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx - Black","1,772.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/171705/1.jpg?3372
47,"Huawei Y5P 5.45"" (2Go, 32Go) 8MP/5MP Android - Vert",959.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/297193/1.jpg?9166
48,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx - White","1,772.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/171705/1.jpg?3373
49,"XIAOMI Redmi A1+ 6.52"" - 2GB + 32GB - 8MPx – Bleu","1,150.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/320085/4.jpg?1001
50,Samsung GALAXY M52- 5G - 128Gb ROM – 8Gb RAM - 64 Mpx - Android - Blanc,"3,200.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/638425/1.jpg?9249
